timestamp,who has the hottest sister,who has the nastiest mom,who has the stupidest dog
2024-05-24 08:16:50,Karen,Rose,Leo
2024-06-07 08:16:50,Alice,Oscar,Jack
2024-05-31 08:16:50,Leo,Grace,Paul
2024-05-29 08:16:50,Frank,Karen,Leo
2024-05-23 08:16:50,Tina,Frank,Oscar
2024-06-19 08:16:50,Jack,Leo,Sam
2024-06-02 08:16:50,Leo,David,Alice
2024-05-24 08:16:50,Oscar,Charlie,Bob
2024-06-19 08:16:50,Rose,Oscar,Bob
2024-05-29 08:16:50,Hannah,Nina,Karen
2024-06-17 08:16:50,Ivy,Oscar,Karen
2024-06-02 08:16:50,Ivy,Frank,Hannah
2024-05-29 08:16:50,Ivy,Bob,Grace
2024-06-06 08:16:50,Nina,Tina,Karen
2024-06-14 08:16:50,Oscar,Charlie,Quincy
2024-05-30 08:16:50,Bob,Bob,Charlie
2024-06-05 08:16:50,Paul,Oscar,Paul
2024-06-01 08:16:50,Eve,Alice,Frank
2024-05-22 08:16:50,Nina,Mona,Leo
2024-05-27 08:16:50,Karen,Alice,Grace
